j	k	likelihood
0.015	4000	-815677.37361017
0.015	4050	-815672.561292682
0.015	4100	-815667.810879339
0.015	4150	-815663.120824973
0.015	4200	-815658.489641199
0.015	4250	-815653.915893633
0.015	4300	-815649.39819934
0.015	4350	-815644.93522442
0.015	4400	-815640.525681689
0.015	4450	-815636.168328595
0.015	4500	-815631.8619651
0.015	4550	-815627.605431857
0.015	4600	-815623.397608321
0.015	4650	-815619.237411122
0.015	4700	-815615.123792368
0.015	4750	-815611.05573816
0.015	4800	-815607.032267141
0.015	4850	-815603.052429121
0.015	4900	-815599.115303757
0.015	4950	-815595.219999357
0.015	5000	-815591.365651667
0.015	5050	-815587.55142278
0.015	5100	-815583.776500084
0.015	5150	-815580.040095274
0.015	5200	-815576.34144335
0.015	5250	-815572.679801726
0.015	5300	-815569.054449406
0.015	5350	-815565.464686104
0.015	5400	-815561.909831501
0.015	5450	-815558.389224461
0.015	5500	-815554.902222343
0.015	5550	-815551.448200325
0.015	5600	-815548.026550741
0.015	5650	-815544.636682442
0.015	5700	-815541.278020247
0.015	5750	-815537.950004346
0.015	5800	-815534.652089772
0.015	5850	-815531.383745856
0.015	5900	-815528.144455789
0.015	5950	-815524.933716081
0.015	6000	-815521.75103614
0.015	6050	-815518.595937857
0.015	6100	-815515.467955134
0.015	6150	-815512.366633547
0.015	6200	-815509.291529915
0.015	6250	-815506.242211936
0.015	6300	-815503.218257884
0.015	6350	-815500.219256209
0.015	6400	-815497.244805236
0.015	6450	-815494.294512842
0.015	6500	-815491.367996219
0.015	6550	-815488.464881462
0.015	6600	-815485.584803423
0.015	6650	-815482.727405348
0.015	6700	-815479.892338661
0.015	6750	-815477.079262734
0.015	6800	-815474.287844612
0.015	6850	-815471.517758789
0.015	6900	-815468.768687021
0.015	6950	-815466.040318068
0.015	7000	-815463.332347555
0.015	7050	-815460.644477661
0.015	7100	-815457.976417082
0.015	7150	-815455.327880692
0.015	7200	-815452.698589471
0.015	7250	-815450.088270332
0.015	7300	-815447.496655888
0.015	7350	-815444.923484317
0.015	7400	-815442.368499285
0.015	7450	-815439.831449661
0.015	7500	-815437.312089508
0.015	7550	-815434.810177858
0.015	7600	-815432.325478606
0.015	7650	-815429.857760377
0.015	7700	-815427.406796405
0.015	7750	-815424.972364424
0.015	7800	-815422.554246506
0.015	7850	-815420.152229021
0.015	7900	-815417.766102441
0.015	7950	-815415.395661295
0.015	8000	-815413.040704057
0.015	8050	-815410.70103303
0.015	8100	-815408.37645425
0.015	8150	-815406.066777414
0.015	8200	-815403.771815769
0.015	8250	-815401.491386024
0.015	8300	-815399.225308284
0.015	8350	-815396.973405936
0.015	8400	-815394.735505628
0.015	8450	-815392.51143709
0.015	8500	-815390.301033176
0.015	8550	-815388.104129714
0.015	8600	-815385.920565431
0.015	8650	-815383.750181958
0.015	8700	-815381.592823683
0.015	8750	-815379.448337704
0.015	8800	-815377.316573832
0.015	8850	-815375.197384418
0.015	8900	-815373.090624397
0.015	8950	-815370.996151161
0.015	9000	-815368.913824535
0.015	9050	-815366.843506722
0.015	9100	-815364.785062231
0.015	9150	-815362.738357843
0.015	9200	-815360.703262564
0.015	9250	-815358.679647561
0.015	9300	-815356.667386121
0.015	9350	-815354.666353603
0.015	9400	-815352.676427407
0.015	9450	-815350.697486902
0.015	9500	-815348.7294134
0.015	9550	-815346.772090154
0.015	9600	-815344.825402225
0.015	9650	-815342.889236527
0.015	9700	-815340.963481744
0.015	9750	-815339.048028336
0.015	9800	-815337.142768422
0.015	9850	-815335.247595838
0.015	9900	-815333.362406056
0.015	9950	-815331.487096141
0.015	10000	-815329.621564738
0.015	10050	-815327.765712045
0.015	10100	-815325.919439766
0.015	10150	-815324.082651073
0.015	10200	-815322.255250609
0.015	10250	-815320.437144428
0.015	10300	-815318.628239983
0.015	10350	-815316.8284461
0.015	10400	-815315.037672938
0.015	10450	-815313.25583197
0.015	10500	-815311.482835975
0.015	10550	-815309.718598967
0.015	10600	-815307.963036223
0.015	10650	-815306.216064232
0.015	10700	-815304.477600683
0.015	10750	-815302.747564421
0.015	10800	-815301.025875448
0.015	10850	-815299.312454886
0.015	10900	-815297.607224983
0.015	10950	-815295.910109037
0.015	11000	-815294.221031464
0.015	11050	-815292.53991768
0.015	11100	-815290.866694134
