"","V1","V2","likelihood_estimates"
"539",0.06,585,-4586611.07197702
"540",0.06,600,-4587310.33533852
"541",0.06,615,-4587992.99063852
"542",0.06,630,-4588659.81462902
"543",0.06,645,-4589311.53060062
"544",0.06,660,-4589948.81319138
"545",0.06,675,-4590572.29266544
"546",0.06,690,-4591182.55873036
"547",0.06,705,-4591780.16395232
"548",0.06,720,-4592365.62681891
"549",0.06,735,-4592939.43449126
"550",0.06,750,-4593502.04528419
"551",0.06,765,-4594053.8909039
"552",0.06,780,-4594595.37847482
"553",0.06,795,-4595126.89237443
"554",0.06,810,-4595648.79590091
"555",0.06,825,-4596161.43279025
"556",0.06,840,-4596665.12859865
"557",0.06,855,-4597160.19196627
"558",0.06,870,-4597646.91577011
"559",0.06,885,-4598125.57818338
"560",0.06,900,-4598596.44364452
"561",0.06,915,-4599059.76374901
"562",0.06,930,-4599515.77807002
"563",0.06,945,-4599964.71491304
"564",0.06,960,-4600406.79201331
"565",0.06,975,-4600842.21718013
"566",0.06,990,-4601271.18889193
"567",0.06,1005,-4601693.89684812
"568",0.06,1020,-4602110.5224801
"569",0.06,1035,-4602521.23942548
"570",0.06,1050,-4602926.21396952
"571",0.06,1065,-4603325.60545512
"572",0.06,1080,-4603719.56666456
"573",0.06,1095,-4604108.24417561
"574",0.06,1110,-4604491.77869364
"575",0.06,1125,-4604870.30536132
"576",0.06,1140,-4605243.95404913
"577",0.06,1155,-4605612.84962663
"578",0.06,1170,-4605977.11221531
"579",0.06,1185,-4606336.85742842
"580",0.06,1200,-4606692.19659259
"581",0.06,1215,-4607043.23695891
"582",0.06,1230,-4607390.08189867
"583",0.06,1245,-4607732.83108901
"584",0.06,1260,-4608071.58068731
"585",0.06,1275,-4608406.42349563
"586",0.06,1290,-4608737.44911383
"587",0.06,1305,-4609064.74408743
"588",0.06,1320,-4609388.39204357
"589",0.06,1335,-4609708.4738213
"590",0.06,1350,-4610025.06759534
"591",0.06,1365,-4610338.24899069
"592",0.06,1380,-4610648.09119314
